Source path,Class name,Line count,Method count,Field count,WMC,LCOM4,TCC,CBO,Maintainability index
src/test/java/com/yourorg/AppendToReleaseNotesTest.java,com.tazzledazzle.AppendToReleaseNotesTest,42,3,0,3,3,0.0,4,63.536109045768896
src/test/java/com/yourorg/AssertEqualsToAssertThatTest.java,com.tazzledazzle.AssertEqualsToAssertThatTest,65,3,0,3,3,0.0,4,60.77535761576792
src/test/java/com/yourorg/BootstrapIntoApplicationTest.java,com.tazzledazzle.BootstrapIntoApplicationTest,97,4,0,4,4,0.0,5,54.947904205317045
src/test/java/com/yourorg/ClassHierarchyTest.java,com.tazzledazzle.ClassHierarchyTest,64,4,0,4,4,0.0,3,59.25712799293468
src/test/java/com/yourorg/EqualsAvoidsNullTest.java,com.tazzledazzle.EqualsAvoidsNullTest,73,3,0,3,3,0.0,2,61.848299073982
src/test/java/com/yourorg/FindSpringBeansTest.java,com.tazzledazzle.FindSpringBeansTest,85,2,0,2,2,0.0,7,49.46448100536907
src/test/java/com/yourorg/NoCollectionMutationTest.java,com.tazzledazzle.NoCollectionMutationTest,201,6,0,6,6,0.0,4,57.41203189412437
src/test/java/com/yourorg/NoGuavaListsNewArrayListTest.java,com.tazzledazzle.NoGuavaListsNewArrayListTest,156,6,0,6,6,0.0,5,58.315380101845946
src/test/java/com/yourorg/SimplifyTernaryTest.java,com.tazzledazzle.SimplifyTernaryTest,93,3,0,3,3,0.0,2,59.55434068656749
src/test/java/com/yourorg/StringIsEmptyTest.java,com.tazzledazzle.StringIsEmptyTest,145,6,0,6,6,0.0,4,60.07444518845523
src/test/java/com/yourorg/TrackJavaTodosFileTest.java,com.tazzledazzle.TrackJavaTodosFileTest,110,4,0,4,4,0.0,5,56.28751518598312
src/test/java/com/yourorg/TrackJavaTodosTest.java,com.tazzledazzle.TrackJavaTodosTest,36,2,0,2,2,0.0,3,58.89449694695046
src/test/java/com/yourorg/TrackTodosTest.java,com.tazzledazzle.TrackTodosTest,250,7,0,7,7,0.0,8,49.65510864159067
src/test/java/com/yourorg/UpdateConcoursePipelineTest.java,com.tazzledazzle.UpdateConcoursePipelineTest,33,1,0,1,1,1.0,4,53.14034559420343
src/test/java/com/yourorg/UseApacheStringUtilsTest.java,com.tazzledazzle.UseApacheStringUtilsTest,59,3,0,3,3,0.0,5,60.539009478108945
src/test/java/com/yourorg/UseIntegerValueOfTest.java,com.tazzledazzle.UseIntegerValueOfTest,46,3,0,3,3,0.0,2,65.9316422807034
src/test/java/com/yourorg/UseOpenRewriteNullableTest.java,com.tazzledazzle.UseOpenRewriteNullableTest,41,2,0,2,2,0.0,6,59.52000452884873
src/test/java/com/yourorg/UseSdkManJavaVersionTest.java,com.tazzledazzle.UseSdkManJavaVersionTest,242,8,0,8,8,0.0,5,53.516224468724616
src/main/java/com/yourorg/AppendToReleaseNotes.java,com.tazzledazzle.AppendToReleaseNotes,72,6,3,11,6,0.0,17,61.90216150422827
src/main/java/com/yourorg/AssertEqualsToAssertThat.java,com.tazzledazzle.AssertEqualsToAssertThat,50,2,3,8,2,0.0,15,48.46179899359597
src/main/java/com/yourorg/BootstrapIntoApplication.java,com.tazzledazzle.BootstrapIntoApplication,175,6,3,9,6,0.0,26,52.491226196355996
src/main/java/com/yourorg/ClassHierarchy.java,com.tazzledazzle.ClassHierarchy,41,2,3,8,2,0.0,10,52.900662516643656
src/main/java/com/yourorg/EqualsAvoidsNull.java,com.tazzledazzle.EqualsAvoidsNull,43,3,0,4,3,0.0,2,66.0274382757052
src/main/java/com/yourorg/FindSpringBeans.java,com.tazzledazzle.FindSpringBeans,34,1,3,1,1,1.0,13,48.66072114505281
src/main/java/com/yourorg/NoCollectionMutation.java,com.tazzledazzle.NoCollectionMutation,121,6,11,37,4,0.0,22,52.22461005358521
src/main/java/com/yourorg/NoGuavaListsNewArrayList.java,com.tazzledazzle.NoGuavaListsNewArrayList,92,3,5,9,2,0.3333333333333333,15,48.12806178954509
src/main/java/com/yourorg/TrackJavaTodos.java,com.tazzledazzle.TrackJavaTodos,25,2,2,2,2,0.0,3,63.939267279309696
src/main/java/com/yourorg/TrackJavaTodosFile.java,com.tazzledazzle.TrackJavaTodosFile,48,4,3,4,4,0.0,3,70.69012985248284
src/main/java/com/yourorg/TrackTodos.java,com.tazzledazzle.TrackTodos,51,4,4,4,4,0.0,3,70.11579133001136
src/main/java/com/yourorg/UpdateConcoursePipeline.java,com.tazzledazzle.UpdateConcoursePipeline,63,2,3,24,2,0.0,12,44.858792545807
src/main/java/com/yourorg/UseSdkManJavaVersion.java,com.tazzledazzle.UseSdkManJavaVersion,77,6,2,18,6,0.0,17,59.4211614112674
src/main/java/com/yourorg/table/ClassHierarchyReport.java,com.tazzledazzle.table.ClassHierarchyReport,29,1,0,1,1,1.0,1,60.50892470575215
src/main/java/com/yourorg/table/SpringBeansReport.java,com.tazzledazzle.table.SpringBeansReport,20,1,0,1,1,1.0,1,64.02900050353357
src/main/java/com/yourorg/table/TodoCommentsReport.java,com.tazzledazzle.table.TodoCommentsReport,24,1,0,1,1,1.0,1,62.3017436496961
